Time,price
2008/4/21,916.74
2008/4/22,915.9
2008/4/23,904.25
2008/4/24,886.13
2008/4/25,886.3
2008/4/26,886.3
2008/4/27,886.3
2008/4/28,893.26
2008/4/29,870.5
2008/4/30,877.55
2008/5/1,852.7
2008/5/2,856.45
2008/5/3,856.45
2008/5/4,856.45
2008/5/5,874.2
2008/5/6,876.4
2008/5/7,868.75
2008/5/8,881.85
2008/5/9,884.85
2008/5/10,884.85
2008/5/11,884.85
2008/5/12,882.68
2008/5/13,866.95
2008/5/14,864
2008/5/15,881.65
2008/5/16,902.4
2008/5/17,902.4
2008/5/18,902.4
2008/5/19,905.2
2008/5/20,919.25
2008/5/21,932.55
2008/5/22,921.85
2008/5/23,925.1
2008/5/24,925.1
2008/5/25,925.1
2008/5/26,929.1
